"   ","COMP_CODE","BRANCH","CODE","LINE_NO","ASSET_TYPE","MATR_DT","CURRENCY_CODE","GL_CODE","CIF_SUB_NO","SL_NO","AMOUNT","PORTFOLIO_CIF","PORTFOLIO_SEQ","SECURITY_CODE1","SECURITY_CODE2","QTY","VALUE_SECURITY","MARKET_PRICE","LEVERAGE_RATIO","LEVEL1","LEVEL2","MARKET_PRICE_CV","PORTFOLIO_BRANCH","ACC_BR","COLLATERAL_MARKET_PRICE_IND","BLOCKED_YN","BLOCKED_AMOUNT","ORIGIN_BR_I","ORIGIN_BR_U","ORIGIN_BR_D","OLD_QTY","OLD_VALUE_SECURITY","OLD_COLLATERAL_AMOUNT"
"1","1","1460","7075","1","B","11/02/2023","","","50011997","","","","","","","","","","","","","","","","C","","","","","","","",""
"2","1","1130","7075","1","B","30/06/2024","","","13000109","","","","","","","","","","","","","","","","C","","","","","","","",""
